1,Москва,Московская область,b2c3b7cd-05a2-4f44-b9a0-27b680ad1952
2,Санкт-Петербург,Ленинградская область,bf504624-fdc8-48ff-849e-a1894e52c0cb
8,Череповец,Вологодская область,4df002ce-661b-4e07-92f6-3d2804744ac3
10,Волгоград,Волгоградская область,1d9c265b-e3d0-40ab-8a52-64ede15bee73
11,Северодвинск,Архангельская область,a779be69-d9bd-4907-a8f9-4468da233ed3
12,Пушкин,Санкт-Петербург,85c9d339-3060-444b-a705-c632ca67b9c2
18,Альметьевск,Республика Татарстан,0e68f4b3-627e-4644-9226-9a22ab2b12fd
19,Ангарск,Иркутская область,769e5887-decb-4e02-9381-1a18c2d5ec98
20,Арзамас,Нижегородская область,e8dd98fb-a99b-478b-bbe9-ecded28ac499
21,Армавир,Краснодарский край,af8d3e5f-a766-46e2-9c93-fa49451d7836
22,Архангельск,Архангельская область,4e4d0dcc-8bfa-436d-a70b-43d60c753b9b
23,Астрахань,Астраханская область,ed735fc6-41bd-4593-bd5c-765c7603835c
24,Балашиха,Московская область,8ace2e3f-10a9-4231-97be-bd6cbdb99619
25,Барнаул,Алтайский край,8ca31559-e903-4b7d-b9c3-7f56ace221d1
26,Белгород,Белгородская область,a2652462-0be5-40ee-a545-87e9ba2922cf
27,Бийск,Алтайский край,4623a36f-046e-4989-8e6b-369be934ceb1
28,Биробиджан,Еврейская автономная область,9e1dbbbd-402a-47c1-9875-f209554b37ce
29,Бирск,Республика Башкортостан,f0ed0498-1cbb-497d-8c30-611a671a804c
30,Благовещенск,Амурская область,fc3fe31e-9a81-407d-acb5-25c8db011e59
34,Великие Луки,Псковская область,7cf2e830-ff39-47e1-9285-86d3eb8c0048
35,Великий Новгород,Новгородская область,19673f39-7c87-4f53-bb1d-89c90b51887f
36,Видное,Московская область,82832bab-2a8b-4459-99ca-a96a63885de2
37,Владивосток,Приморский край,f847fdb2-0078-461a-8cb5-997195815f84
38,Владикавказ,Республика Северная Осетия — Алания,252036b7-eab9-46dc-98c8-52cd1041fed4
39,Владимир,Владимирская область,00480c0c-cb5b-4131-a428-9599de20678d
40,Волжский,Волгоградская область,729a3fb3-09f1-4ef3-af18-0233222c4e9a
41,Вологда,Вологодская область,bf8a4aff-16f6-4571-99d9-0e4a86e086e7
42,Воронеж,Воронежская область,99cd77b5-d80b-4197-a52b-efe0b3ef35c4
44,Геленджик,Краснодарский край,e6c54af0-b3c1-4dea-8f79-9527a478a95d
45,Глазов,Удмуртская Республика,a4754318-48d5-4923-af2a-8ad7642a85a6
46,Горно-Алтайск,Республика Алтай,410d2486-f369-40e8-a8ea-0e0df4918bb8
51,Елец,Липецкая область,b6797ced-2271-4f88-b0ed-f18309b81590
52,Ессентуки,Ставропольский край,920e660d-8d25-4c61-bf90-5f1ac64e6c68
53,Жуковский,Московская область,031513a1-a859-40cb-b28b-976dfdd03955
54,Зерноград,Ростовская область,0affddee-2ac9-4123-94f9-8d925f99f3f3
55,Иваново,Ивановская область,7008b2a7-dfda-4d3e-92da-cced8570ef0c
56,Ижевск,Удмуртская Республика,4a9ab7af-adb4-433c-8fd9-5d398914d250
57,Иркутск,Иркутская область,ca6d40b7-f64b-4e41-bb42-96d44be7fd4a
58,Ишим,Тюменская область,49b122be-2f23-4cf0-9029-070761e1ae1f
59,Йошкар-Ола,Республика Марий Эл,63454324-5d47-48b8-bea0-e1ef974f6a21
60,Казань,Республика Татарстан,157f214d-d1c3-4e91-bbca-582949ff326b
61,Калининград,Калининградская область,a1036197-48c8-43e5-8b52-37ad45231ddb
62,Калуга,Калужская область,10257e71-3728-4e65-80fe-df19cc8bce2b
63,Карачаевск,Карачаево-Черкесская Республика,71e4c5a6-ca5f-4111-9b49-8b441533596a
64,Кемерово,Кемеровская область,c86c3f53-2584-4e39-80ae-eca59cd53a05
68,Ковров,Владимирская область,4e261f00-6a96-43a5-b906-2ea4b54fbbeb
69,Коломна,Московская область,6118df39-f91e-4245-8684-bb4e06f3bec2
70,Комсомольск-на-Амуре,Хабаровский край,d9541062-8465-4fd9-b1fc-bb94dbfb88de
71,Кострома,Костромская область,f446e62b-9f12-4ccb-bb5f-068d93242d08
72,Краснодар,Краснодарский край,85cd26c0-f43f-48ec-a2d9-b07ee06e8a90
73,Красноярск,Красноярский край,64765d2a-4160-4e34-bf51-f9db2b9cb6e4
74,Курган,Курганская область,4bd39cfb-cb00-4b9d-8fd2-06384e1575dd
75,Курск,Курская область,2a565bab-a45b-43a7-ac7d-bb3f34795b54
76,Кызыл,Республика Тыва,6fa153bd-337b-460a-972a-3a5e5346e855
81,Магадан,Магаданская область,d6eff572-8a46-46a1-93ec-2e31fdd1b651
82,Магнитогорск,Челябинская область,1fcbdea0-1270-4bce-b1b6-0605582653b8
83,Майкоп,Республика Адыгея,e42583ef-b906-4758-9e8e-1f2216751a1f
89,Назрань,Республика Ингушетия,9ba28e23-efa4-4c72-8dca-3808116d47d6
90,Нальчик,Кабардино-Балкарская Республика,e58730ef-71d5-493f-b8cc-2b3822d5fb9b
94,Нижнекамск,Республика Татарстан,3a6fe911-a709-4986-b9a7-cff150353763
95,Нижний Новгород,Нижегородская область,eb2dd049-53ac-43b9-bb1c-6d19192e1210
96,Нижний Тагил,Свердловская область,29fb9c45-43ea-4867-a4fc-d18293ff2664
97,Новокузнецк,Кемеровская область,31b1af55-823e-4be2-82e9-a8238f9ce37d
98,Новороссийск,Краснодарский край,1ed93804-46ba-445b-86c3-33b460e4502a
99,Новосибирск,Новосибирская область,50e19c70-d232-4f78-a5b7-b8275a8e5208
100,Новоуральск,Свердловская область,01e2c692-69f7-4b89-a9dd-56a81312a6c1
101,Новочеркасск,Ростовская область,9e5667e4-1f84-43ea-b3e3-8ee2fb129e34
102,Норильск,Красноярский край,6d08fc40-7735-458f-8918-c75cb0bf3f52
103,Обнинск,Калужская область,e1a43c02-4195-4db3-820f-2f65e3d0fa21
104,Омск,Омская область,d545d1c7-5b46-4455-bdba-8ed95abe583c
105,Орёл,Орловская область,a0c7fffc-6508-427f-94fd-4742baabc41c
106,Оренбург,Оренбургская область,3b0badc2-df25-4ba0-9348-04b38bb35b81
107,Орехово-Зуево,Московская область,25b37e61-2c8e-42c0-8d6a-55af6bc4d6aa
108,Орск,Оренбургская область,15cf9925-7023-4e5e-af22-69b3eb7dc57b
109,Пенза,Пензенская область,f8d74ce7-3854-4e01-bd0f-6551c1b46be1
110,Пермь,Пермский край,ddbe7494-8564-4933-91e6-1a3951782951
112,Петрозаводск,Республика Карелия,bc3d1c80-b5c4-475b-a42b-a5f7c796bf7f
114,Псков,Псковская область,bc550ee4-b62b-4ee1-a20e-e4d4ab630dc9
119,Ростов-на-Дону,Ростовская область,1d093934-cdf9-4a9e-9a65-35c42e5ed12f
120,Рузаевка,Республика Мордовия,77c63cd3-0923-47ee-8c5b-3bc404fa7f72
121,Рыбинск,Ярославская область,5119bb71-decf-4f52-862c-354e5211f52e
122,Рязань,Рязанская область,fb677e52-9be6-49a3-9aa4-ce9647d10031
123,Самара,Самарская область,68c0a551-b35f-4574-8bbb-37050d42865e
124,Саранск,Республика Мордовия,e530055a-4c30-4edb-8779-e5f594ae621e
125,Саратов,Саратовская область,edfed1ba-82e6-4e7d-86a3-0b0b72290e15
126,Северск,Томская область,c6520f22-5c30-4d5d-a306-59f790614b27
128,Сиверский,Ленинградская область,2ed499eb-187b-4864-958f-d40d6afed842
129,Славянск-на-Кубани,Краснодарский край,e757e8cf-11e0-481e-8a28-e7d2c0a86075
130,Смоленск,Смоленская область,ed763ade-08cf-4729-9b75-e5ffbb4084dd
131,Снежинск,Челябинская область,a5601ae3-7946-433c-94a6-476c17b87095
132,Соликамск,Пермский край,017be36f-6550-4608-aa18-8cb358ed0613
133,Сочи,Краснодарский край,919ad755-b5b3-4e33-abd2-a7c58aca29d5
134,Ставрополь,Ставропольский край,29ece191-9f90-412a-bd85-47cf0ab5f752
135,Стерлитамак,Республика Башкортостан,430de7a3-14e6-4a6e-bcdd-97d8a17e751d
136,Сургут,Ханты-Мансийский автономный округ — Югра,28a107b2-da5a-45d2-adb6-13190769f3a8
138,Сыктывкар,Республика Коми,cb1f8ded-ad33-4af1-9273-32f1762761c3
139,Таганрог,Ростовская область,d9783aa1-03a2-4adc-ab8a-18ed9ec05285
140,Тамбов,Тамбовская область,050aff39-3b06-489c-8a68-1319a66bead4
141,Тверь,Тверская область,38319137-4a4f-499b-9680-e52897177b2f
143,Тольятти,Самарская область,0a575b97-8c39-4e26-97b8-c3a51b80585f
144,Томск,Томская область,5d89c77c-146b-43ef-b78b-b0fc3b07a2ff
145,Троицк,Челябинская область,8fde3748-52a3-4416-8a9d-e61c0e61618d
146,Тула,Тульская область,559b5d09-1596-404e-b4f6-666f0a2b078a
147,Тюмень,Тюменская область,43d1ea86-dd80-4fc4-a53c-1afe0381e5fe
148,Улан-Удэ,Республика Бурятия,459a6ea7-4577-4beb-9d6e-c335096a7eb8
